ESTADO,CIDADE,LOJA,CONTATO,LAT,LONG
AL,ARAPIRACA,2,2,-9.749301810749229,-36.66258814017817
AM,MANAUS,1,1,-3.1292652112291126,-60.0195666630607
BA,JUAZEIRO,1,1,-9.433863193662646,-40.508543921839745
CE,ALCANTARAS,2,2,-3.5859804822814634,-40.54451179194036
CE,ARACATIAÇU,3,3,-3.877086559115615,-40.02263579039145
CE,BARROQUINHA,1,1,-3.0203688664330506,-41.134581990943566
CE,CRATEUS,1,1,-5.179053432498891,-40.667527931363665
CE,FORQUILHA,8,8,-3.800273962725713,-40.265244443337046
CE,FORTALEZA,2,2,-3.725822597109248,-38.52820121802396
CE,FRECHEIRINHA,24,24,-3.7601150589474885,-40.81632713796745
CE,GROAÍRAS,2,2,-3.9153098651826634,-40.3867407279856
CE,IRAUÇUBA,3,3,-3.7479321621481123,-39.782824576713374
CE,ITAPAJÉ,1,1,-3.6854841166850534,-39.586316560348685
CE,JUAZEIRO,1,1,-7.228342953186734,-39.316884938618166
CE,LISIEUX,1,1,-3.989887482951508,-40.329490375551345
CE,MASSAPÊ,2,2,-3.5265464834698994,-40.34184495448291
CE,MERUOCA,2,2,-3.5419565759263003,-40.454731282991624
CE,MORRINHOS,1,1,-3.2275444431740348,-40.125705281886695
CE,MUCAMBO,3,3,-3.906210921565121,-40.74536034267779
CE,SANTANA,2,2,-3.460089963796523,-40.210844720681955
CE,SANTA_QUITÉRIA,1,1,-4.332074507098408,-40.155534453472846
CE,SOBRAL,78,78,-3.68492138639651,-40.356427812187064
CE,SÃO_BENEDITO,2,2,-4.0446022468275755,-40.86678807476732
CE,SÍTIO_ALEGRE_MORRINHOS,8,8,-3.317664658674538,-40.009426641183566
CE,TAPERUABA,47,47,-4.024950581707749,-40.002573010510375
CE,TIANGUÁ,15,15,-3.7291472585684304,-40.992217006198274
CE,UBAJARA,2,2,-3.854252077474682,-40.919727625055486
MA,BACABAL,1,1,-2.666967000974004,-44.2666241295763
MA,BURITI_BRAVO,1,1,-3.9449534265367854,-42.915067806867285
MA,SÃO_LUÍS,3,3,-2.544795509463944,-44.29160186173234
PA,BELÉM,1,1,-1.4525258228845404,-48.500967153971565
PA,CASTANHAL,1,1,-1.2905328626662358,-47.9253941740647
PA,MARABÁ,1,1,-5.360778611915001,-49.12332762209079
PA,PARÁ,1,1,-5.432536122843768,-52.46338875775792
PA,SANTAREM,1,1,-2.4400637088734354,-54.72430313006923
PA,TRAIRÃO,1,1,-4.702600487645711,-55.99499746616958
PE,PETROLINA,7,7,-9.399019187256977,-40.50155996007929
PI,BURITI_DOS_MONTES,1,1,-5.312743497622226,-41.09601432419818
RO,PORTO_VELHO,2,2,-8.765159637682265,-63.89834508035262
RO,RONDONIA,1,1,-11.269168003609602,-63.04870266047365
