LOJA,CIDADE,ESTADO,CONTATO
ABA MODA INFANTIL,TAPERUABA,CE,88)98140-7899
ABRAÃO VARIEDADES,SÃO_BENEDITO,CE,88)99991-8919( ) -
ADROALDO FILHO PRESCRIÇÃO DE OCULOS,ITAPAJÉ,CE,85)99283-7602
ALANA,SOBRAL,CE,88)99616-8137
ALICE GUIMARES,ALCANTARAS,CE,88) 3614-5339
ALL CLOSET,TIANGUÁ,CE,88)99772-4445
GABRIELY CARDOSO,TIANGUÁ,CE,88)99239-3496( ) - ALICE
AMOUR LING,RONDONIA,RO,87)98848-8270
ANES STORES,SOBRAL,CE,88)99222-2298
ANJINHO FELIZ R R CONFECÇÕES,TAPERUABA,CE,88) 3613-6437 ROCHELMA
ANNE FILHA DO SR TACITO ANNE FILHA DO SR TAC,SOBRAL,CE,88)99695-5459
ARTE DE BRINCAR ARTE DE BRINCAR,FORQUILHA,CE,88)99251-1604 EVANEIDE
ASAF BABY,TAPERUABA,CE,88)98137-5698
AUGUSTO BABY J AUGUSTO MAGALHAES,TAPERUABA,CE,88)98123-8335 AUGUSTO
BABY STAR,TAPERUABA,CE,88)98118-9655 DOIW
BEATRIZ MODA INFANTIL,TAPERUABA,CE,41) 4195-4008
BEBE CARINHOSO,TAPERUABA,CE,88) 8148-8989
BEBE CONFORTO,TAPERUABA,CE,88)98106-4491
BEBE FELIZ,SOBRAL,CE,88)98110-6237
BEBEABA KIDS,TAPERUABA,CE,85)98792-0846
BEBÊ FASHION,TAPERUABA,CE,88)98136-0653 ANGELO
BELIZE LINGERIE,MUCAMBO,CE,88)99278-3049
BELLY BABY,TAPERUABA,CE,88)98151-0313
BEM ME QUERO,BARROQUINHA,CE,88)99277-2891( ) -
BENÉ CONFECÇÕES,FRECHEIRINHA,CE,88)99340-9162
BIA MULTIMARCAS,SÃO_BENEDITO,CE,99)22419-26
BILA BABY,TAPERUABA,CE,88)88888-8888
BITANGA LINGERIE RS DE OLIVEIRA VASCO,SOBRAL,CE,88)99744-6144 MARCOS
BORRACHARIA 4 IRMAOS,SOBRAL,CE,88)99223-4035 FCA DA CACHORRA
BRINQUEDOS LUMMAR INDUSTRIA E COMERCIO DE PLAST BRINQUEDOS LUMMAR,FORTALEZA,CE,85) 3065-0157( ) -
BRULU BABY,TAPERUABA,CE,85)98139-4345
BRUMARRIE,FRECHEIRINHA,CE,88)99361-6058
BRUNIELY LINGERIE,ARACATIAÇU,CE,88)98124-9251
BRUNO BABY,TAPERUABA,CE,88)98173-1158
BUFFET D. FLOR DEBORA MELO SALES,SOBRAL,CE,88)99735-8765 DEBORA
CARLA VARIEDADES RITA ODECELIA SABINO,SANTANA,CE,88)99918-5137
CASA BEZERRA,SOBRAL,CE,88)99797-0001
CENTRAL KIDS,SOBRAL,CE,88)98150-1582
CHICO GALEGO MERC.,SOBRAL,CE,88)99876-3898
CIA DO BEBE,TAPERUABA,CE,88)99939-7532 RONI
CLUBE DA LINGERIE,SÃO_LUÍS,MA,99)98260-4495
CMA ADESIVOS TAPERUABA,TAPERUABA,CE,88)98112-1820
COLEGIO CORAÇÃO DE JESUS,SOBRAL,CE,00)0000-0000
COMUNIDADE ANAWIM,SOBRAL,CE,88)99609-3252
COMUNIDADE CATÓLICA LUZ DIVINA,SOBRAL,CE,88)99213-1678
COMUNIDADE CORAÇÃO DE MARIA,SOBRAL,CE,88)99962-7303
CONCEIÇÃO MODA E CONFECÇÃO,FORQUILHA,CE,88)99483-4553 CONCEIÇÃO
CONFEITARIA IDEAL,TIANGUÁ,CE,00)00000-0000( ) - CONCEIÇÃO
COSTA BOY SHORTS,SÍTIO_ALEGRE_MORRINHOS,CE,85)98121-9043( ) -
CUECAS TRIHOMEM,SÍTIO_ALEGRE_MORRINHOS,CE,85)98178-5979( ) - JEAN
DAMAN LINGEIRE DAMAN,FRECHEIRINHA,CE,88)98107-9824
DAVID BABY,TAPERUABA,CE,88)98138-3083
DEDESY BABY,TAPERUABA,CE,88)98129-6158
DELAWEAR LINGERIE,FRECHEIRINHA,CE,88)99413-0302
DEMONTIE,SOBRAL,CE,88)99205-7170
DERIK BABY,TAPERUABA,CE,88)98146-0122
DIAMANTES LINGERIE,FRECHEIRINHA,CE,85)98674-3174 JANETE SALES
DIKARLA,BURITI_BRAVO,MA,99)99646-3341
DILOLO BABY,TAPERUABA,CE,88)98139-0304
DINANCY LINGERIE,FRECHEIRINHA,CE,88)99278-1900
DIOCESE DE SOBRAL,SOBRAL,CE,88) 3611-0545
DLD VARIEDADES,LISIEUX,CE,88)98139-3743
DMAY LINGERIE,BACABAL,MA,99)98206-7835
DOCE CULTURA ISAAC,SOBRAL,CE,00)0000-0000
DONNA BELA,SOBRAL,CE,88)99316-6467
DRF IMPORTS,TIANGUÁ,CE,88)99292-8458
DROGARIA SAO LUCAS,SOBRAL,CE,88)99855-1000
DU CARMO SITIO ALEGRE,SÍTIO_ALEGRE_MORRINHOS,CE,88)99721-4106 DU CARMO
DUBALI LINGERIE,FRECHEIRINHA,CE,94)99282-4336 MARCONDES
DULCCI TIANGUA,TIANGUÁ,CE,88)99712-1100 JORGEANE
DUNASOL,SOBRAL,CE,88)99254-7422
DYSTAK,SOBRAL,CE,88)99268-4100 EUDICE
ED MULTIMARCAS,JUAZEIRO,BA,71)99628-2675
EDUARDO BABY,TAPERUABA,CE,88)98106-3299
EDVAN NASCIMENTO,SOBRAL,CE,88)99303-0359
EGBERTO LIMA,SOBRAL,CE,88)98106-3299
ELIETE PRESENTES,SOBRAL,CE,88)99987-1337
ELUANA FOTOGRAFA,SOBRAL,CE,88)99616-2949
EMILY BABY,TAPERUABA,CE,88)98157-3743
ESTILO BABY,TAPERUABA,CE,88)98128-6681
EVA COSMETICOS,MUCAMBO,CE,88)99295-0216 EVERALDO
EVELIN LINGERIE,SOBRAL,CE,00) 0000-0000
EVENTOS E CIA,SOBRAL,CE,88)99911-6623
EVERTON EX COPIAS E CORES,SOBRAL,CE,00) 0000-0000
EXCELENCIA LINGERIE,FRECHEIRINHA,CE,88)99260-3841
EXCELENCIA LINGERIE,FRECHEIRINHA,CE,88)99226-0431 FAGNER
EXCLUSIVA LINGERIE,FRECHEIRINHA,CE,88)99417-3015
EXITO LINGERIE,FRECHEIRINHA,CE,88)99206-4072 JOSEAN
FABIANO,SOBRAL,CE,00) 0000-0000
FEMYNE L C BEZERRA COMERCIO,SANTAREM,PA,93)99109-3344
FERNANDO KAIROS,SOBRAL,CE,00)0000-0000
FESTA RECORDANCE,SOBRAL,CE,88)99203-6620
FLORA COSMETICOS,GROAÍRAS,CE,88)99250-2012
FRANCISCO ADRIANO MENDES,SOBRAL,CE,00) 0000-0000
FRANCISCO GERARDO CUNHA VASCONCELOS,SOBRAL,CE,88) 9425-3175 GERARDO
FUFU BABY,TAPERUABA,CE,00 0000-0000
GABRIEL SOUZA LOS BARONES,SOBRAL,CE,88)99472-6892
GALLERY MODAS ALLESSANDRE SOARES M,BURITI_DOS_MONTES,PI,86)98103-7308( ) -
GERAÇÃO BABY,TAPERUABA,CE,85)98183-7213
GILVANETE LIMA GONCALVE,TAPERUABA,CE,88)98135-2517
GORETE ESPOSA DO ROGERIO,SOBRAL,CE,88)98129-2010
GRACINHA BABY,TAPERUABA,CE,88)98129-8989
GRAFICA HELEN,SOBRAL,CE,88)99260-3124
GRAFICA JOHN,MUCAMBO,CE,88)99286-4162
GRAZIELY JIJOCA,SOBRAL,CE,88)99661-4773
GRUPO LEGIÃO CAPOEIRA GRUPO,SOBRAL,CE,00) 0000-0000
GUMMER,PETROLINA,PE,87)98140-4400
HAPPY BABY,SOBRAL,CE,00)0000-0000
HARDY LINGERIE,SOBRAL,CE,88)99464-7890 DIEGO
HE MODA INTIMA,TRAIRÃO,PA,93)98414-5080
HELOAY BABY,TAPERUABA,CE,88)99268-9199
HIBISCO LINGERIE,FRECHEIRINHA,CE,88)99299-7944
HOJE TEM,TIANGUÁ,CE,85)99219-0114 ROGEN
IBERIS LINGERIE,FRECHEIRINHA,CE,88)99496-2965 ADAIL
IMPERIAL BABY,TAPERUABA,CE,88)98147-5795
IRISBELA LINGERIE,FRECHEIRINHA,CE,88)99276-8141
ISMAEL FERREIRA MELO MAEL,SOBRAL,CE,88)03614-0126
ISRAEL BABY,TAPERUABA,CE,88)98118-4419
JANE SANTOS,SOBRAL,CE,00)000-0000
KAIROZ,SOBRAL,CE,00)0000-0000
KAKA CABELEIRO,SOBRAL,CE,00) 0000-0000
KELVIN BABY,TAPERUABA,CE,88)98131-1717 TOIN
LA RENNA,ARACATIAÇU,CE,88)98105-6164
LABOCLISA,SANTANA,CE,00) 0000-0000
LABORATORIO LARVA,IRAUÇUBA,CE,00)0000-0000
LALABI MODA INFANTIL,TIANGUÁ,CE,88) 9774-7900
LAYANNE BABY,TAPERUABA,CE,88)98136-0092 CARLINHOS
LE BORSE,SOBRAL,CE,88)99815-6781
LEVE CONFORTO,SOBRAL,CE,00)0000-0000
LG CELL,FRECHEIRINHA,CE,88)99244-7166
LIA LINGERIE,SÍTIO_ALEGRE_MORRINHOS,CE,88)99400-7200
LINDONA LINGERIE,FRECHEIRINHA,CE,88)99444-2161
LM IMPORT'S,FORQUILHA,CE,88)99230-3113 - LIDIA
LOJA LAYANE,FRECHEIRINHA,CE,88)99432-8455
LOJA VASCONCELOS,SOBRAL,CE,88)99480-3678 DONA NEIDE
LOLI CLIENTE DE FORA,SÃO_LUÍS,MA,99)98260-4495
LUCIDES BOUTIQUE,PORTO_VELHO,RO,69)99209-1559
LUIS MOURÃO,SOBRAL,CE,88)99303-0493
LUXUS LINGERIE,CRATEUS,CE,88)99240-3040 CLAUDIANA
MADAME LINGERIE,FRECHEIRINHA,CE,88)99418-9072
MAGA MODA FITNESS,PETROLINA,PE,81)99926-9170
MAGALHAES MODA,TAPERUABA,CE,88) 3613-6288
MANIA BABY,TAPERUABA,CE,88)81396-1661
MANIA BABY,TAPERUABA,CE,88)81396-1661
MANIART'S GRAFICA -,TIANGUÁ,CE,88)99645-9482
MARASUCO INDUSTRIA DE SUCOS LTDA,UBAJARA,CE,88) 3634-1342
MARBELLE ARAPIRACA,ARAPIRACA,AL,88)99324-2838
MARBELLE LINGERIE,FRECHEIRINHA,CE,88)99260-4589
MARGARIDA CHICK,MANAUS,AM,92)98219-4564 ANDRE
MARIA BELA,FORQUILHA,CE,88)99418-9520
MARIA KIDS,TIANGUÁ,CE,88)99415-8246
MARIA RITA,PORTO_VELHO,RO,69)98128-6132
MARMITERIA MARCELINOS,SOBRAL,CE,88)99226-2416
MAYARA AUTO ESCOLA JUNIOR,SOBRAL,CE,00)0000-0000
MERCADINHO ERIVELTON,MERUOCA,CE,88)99306-4465
MERCADINHO ERIVELTON,MERUOCA,CE,88)99306-4465
MERCADINHO SOCORRO,MASSAPÊ,CE,88)99418-2867 SOCORRO
MIGUEL,SOBRAL,CE,00)0000-0000
MIKAEL BABY,TAPERUABA,CE,88)98150-7710
MIMOS DA NATALY,TAPERUABA,CE,00)0000-0000
MIMOS DA SONIA,FORQUILHA,CE,88)99218-1487 SONIA
MONZA BABY,TAPERUABA,CE,88)98113-7469
MONZA BABY - GERMANA MONZA BABY,TAPERUABA,CE,88)98148-3090
MONZA BABY - RODRIGO MONZA BABY,TAPERUABA,CE,88)98184-3425
MOÇA XICA,PETROLINA,PE,87)98806-6764
MUNDAO DA CRIANÇA,TAPERUABA,CE,88)98102-7282
MUNDO DELA LINGERIE,SÍTIO_ALEGRE_MORRINHOS,CE,88)98166-2248 DANILO
MUNDO FEMME,SÍTIO_ALEGRE_MORRINHOS,CE,85)98631-0210
NILDO EVENTOS,SOBRAL,CE,88) 9709-0915 NILDO
NOVISSIMA MODA,FORQUILHA,CE,88)99428-4515( ) - JANAINA
NS JOIAS,TIANGUÁ,CE,88)99463-4843
OLIVER BEACH,PETROLINA,PE,87)99966-3014
OTICA FRAN FASHION,SOBRAL,CE,88)99422-2333
OTICA PRINCESA,SOBRAL,CE,00)0000-0000
OTICAS MARRI MARRI,PETROLINA,PE,87)98804-7200( ) -
PAINITI LINGERIE,FRECHEIRINHA,CE,88)99282-9274 - LISANDRA
PARISI LINGERIE,FRECHEIRINHA,CE,88)99340-0806
PEQUENO DENGOSO,SOBRAL,CE,88)98134-2537
PETALAS UBAJARA,UBAJARA,CE,88)99424-8882
PIJAMAS E LINHAS,FRECHEIRINHA,CE,88)99260-2418
PINGO DE OURO,TAPERUABA,CE,88)98142-0448
PIZZARIA O ÍTALO,SOBRAL,CE,88)09236-9470 - ÍTALO
POLLGREEN,SOBRAL,CE,00)0000-0000
POUSADA,SOBRAL,CE,00)0000-0000
PRESTADORA DE SERV. PAI & FILHO,SOBRAL,CE,88)99802-0817
PRISCILA ARAGÃO MERUOCA,MERUOCA,CE,88)99485-9833
QUALITY PERITOS,JUAZEIRO,CE,88)99215-7590
R CONCEITO RUBI LINGERIE,ARACATIAÇU,CE,88)99691-2262
R EMILY VARIEDADES,SOBRAL,CE,88)99246-8043 EMILLY
RAINHA DO NORTE SACOLAS,SANTA_QUITÉRIA,CE,88)99814-1178
RAYLA LINGERIE,SÍTIO_ALEGRE_MORRINHOS,CE,88)98130-9368
REGINA MOREIRA,SOBRAL,CE,00)0000-0000
RICARDO CABELEIREIRO,SOBRAL,CE,88)99237-1377
ROBERIO GRAFICA,MASSAPÊ,CE,88)99311-0684
ROSE & DU STORE,IRAUÇUBA,CE,88)99448-2948 - ROZIE
S D COUROS,GROAÍRAS,CE,88)98858-6311 SAMIA
SALI PARÁ,PARÁ,PA,91)98319-2262
SAMANTHA VARIEDADES,ALCANTARAS,CE,88)99212-8232
SAMARA BABY,SOBRAL,CE,00)0000-0000
SAMARA KELLY,SOBRAL,CE,88)9453 -6501
SAMUEL BABY,TAPERUABA,CE,88)98148-8989 ADÃO
SAMY ISA BABY,SOBRAL,CE,88)99462-7894
SANDRA ARCANJO,SOBRAL,CE,00)0000-0000
SANTO ANTÔNIO CALÇADOS,SOBRAL,CE,88)99693-6161 SIDNEY
SECRETS LINGERIE,MARABÁ,PA,94)99106-5107
SENHORITO JOSE,PETROLINA,PE,87)98809-0828
SENTIDO LINGERIE,FRECHEIRINHA,CE,88)99320-6061
SHOPPING PAES,IRAUÇUBA,CE,88)99237-5459 JUNIOR
SHOW DE PIZZA,SOBRAL,CE,88)99660-1300
SIMONE MODA FASHION,FORQUILHA,CE,88)99404-2189
SOBERANA LINGERIE,CASTANHAL,PA,91)98086-8642
SORTIDAO MENEZES,FRECHEIRINHA,CE,88)99488-9872 DAIRLA
STILOSA.COM,SOBRAL,CE,88)99420-2163
SUCINTA LINGERIE,SOBRAL,CE,88)99637-1896
SUELY,SOBRAL,CE,88)99376-9483
SURPRESA BABY,TAPERUABA,CE,88)98184-3425
TACITO,SOBRAL,CE,00)0000-0000
TAPY BABY,TAPERUABA,CE,88) 3613-6600 DAS CHAGAS
TARCIELY ESTETICISTA,SOBRAL,CE,88)99342-3038
TEM ACESSORIOS,ARAPIRACA,AL,82)99920-9161
TERESINHA QUEIROZ,TIANGUÁ,CE,88)99917-8124
TEXEIRA SACOLAS,TIANGUÁ,CE,88)99928-5959
TILILI BABY,TAPERUABA,CE,88)98125-9982
TURQUESA LINGERIE,BELÉM,PA,91)98215-1949
ULI BEE,TIANGUÁ,CE,88)98849-8647
UNIBABY,TAPERUABA,CE,88)98827-3002
UNIVERSO BABY,TAPERUABA,CE,88)98109-9368
VALDECIR SG,SOBRAL,CE,88)09211-4479 VALDECI
VATABA DA TIA,SOBRAL,CE,00)0000-0000
VERONICA,SOBRAL,CE,88)99721-9906
VESTE MODAS,SOBRAL,CE,00)0000-0000
VICTORIA LINGERIE,SÃO_LUÍS,MA,98)98734-4676
VIGIA NOTURNO,SOBRAL,CE,88)99862-4016
VILART,MORRINHOS,CE,00)0000-0000
ZBZ MERCANTIL,FORQUILHA,CE,88)99311-7848 IGOR
ZE ANTONIO REGIONAL,FORTALEZA,CE,85)98957-8528
ZOE BOUTIQUE,PETROLINA,PE,87)98858-7629
ZYANE LINGERIE SITIO,SÍTIO_ALEGRE_MORRINHOS,CE,88)99337-5990
ÓTICA DANTAS,TIANGUÁ,CE,88)99702-5787
ÓTICA ESTILO,TIANGUÁ,CE,88)99443-5871
